Date,BankCredit
2017-11-24,7934714.61154
2017-12-08,7998188.27627
2017-12-22,8068266.95203
2018-01-05,8152767.47549
2018-01-19,8142006.19967
2018-02-02,8233473.07991
2018-02-16,8223208.03324
2018-03-02,8319032.45112
2018-03-16,8346747.28767
2018-03-30,8625424.85413
2018-04-13,8446023.20949
2018-04-27,8517625.05228
2018-05-11,8520644.61713
2018-05-25,8537655.39083
2018-06-08,8593845.47473
2018-06-22,8614418.54474
2018-07-06,8656612.54367
2018-07-20,8609733.68541
2018-08-03,8672843.53747
2018-08-17,8673163.18272
2018-08-31,8780752.81297
2018-09-14,8798111.90173
2018-09-28,8981664.04289
2018-10-12,8993105.58891
2018-10-26,9033975.21724
2018-11-09,9111427.05526
2018-11-23,9132626.49544
2018-12-07,9206252.82954
2018-12-21,9287635.58348
2019-01-04,9337446.66205
2019-01-18,9332554.54986
2019-02-01,9429528.15189
2019-02-15,9440365.93206
2019-03-01,9520452.38232
2019-03-15,9556241.76885
2019-03-29,9771722.43516
2019-04-12,9644786.33087
2019-04-26,9620945.49141
2019-05-10,9624756.56201
2019-05-24,9621544.98873
2019-06-07,9651902.78702
2019-06-21,9648768.26135
2019-07-05,9697433.6108
2019-07-19,9658377.68346
2019-08-02,9729001.58303
2019-08-16,9684561.87582
2019-08-30,9680153.44365
2019-09-13,9713657.70093
2019-09-27,9768853.85619
2019-10-11,9789380.57983
2019-10-25,9840562.31357
2019-11-08,9846374.88036
2019-11-22,9860302.64996
2019-12-06,9934683.53124
2019-12-20,9947443.92255
2020-01-03,10036091.78389
2020-01-17,10003642.44173
2020-01-31,10105176.35551
2020-02-14,10042582.91284
2020-02-28,10104866.31986
2020-03-13,10140472.6056
2020-03-27,10370860.68312
2020-04-10,10337903.84657
2020-04-24,10273415.78664
2020-05-08,10251832.99123
2020-05-22,10222753.1829
2020-06-05,10254569.50754
2020-06-19,10245677.47013
2020-07-03,10304202.568
2020-07-17,10219111.56664
2020-07-31,10282056.88798
2020-08-14,10219501.77969
2020-08-28,10216158.03843
2020-09-11,10226930.09682
2020-09-25,10271581.00793
2020-10-09,10343494.78225
2020-10-23,10338867.87781
2020-11-06,10419270.54757
2020-11-20,10434880.34296
2020-12-04,10497687.17888
2020-12-18,10547036.78112
2021-01-01,10702596.47069
2021-01-15,10642893.27675
2021-01-29,10703751.83006
2021-02-12,10703541.33606
2021-02-26,10774742.46194
2021-03-12,10795818.38217
2021-03-26,10949508.99636
2021-04-09,10888466.09148
2021-04-23,10860485.37617
